WiiAccX,WiiAccY,WiiAccZ,,,,CogX,CogY,,,cursorX,cursorY
-0.5,-0.208333328,0.916666687,0,0,0,-2.471508026,-2.471527338,0,0,871,135
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.528577089,-2.477508068,0,0,873,136
-0.458333343,-0.208333328,0.875,0,0,0,-2.514888287,-2.527133226,0,0,876,137
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.572749376,-2.528554678,0,0,879,137
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.529248238,-2.528568268,0,0,881,138
-0.5,-0.208333328,0.875,0,0,0,-2.529248238,-2.528568268,0,0,885,138
-0.5,-0.208333328,0.916666687,0,0,0,-2.464961529,-2.54723382,0,0,890,140
-0.5,-0.208333328,0.958333313,0,0,0,-2.526129723,-2.552489281,0,0,896,142
-0.416666657,-0.208333328,0.875,0,0,0,-2.447418451,-2.585595846,0,0,900,142
-0.375,-0.208333328,0.875,0,0,0,-2.498715401,-2.586625338,0,0,905,143
-0.416666657,-0.208333328,0.833333313,0,0,0,-2.510155916,-2.619138479,0,0,907,144
-0.5,-0.25,0.875,0,0,0,-2.525763512,-2.645240068,0,0,909,144
-0.541666687,-0.25,0.875,0,0,0,-2.51831007,-2.648218393,0,0,911,145
-0.541666687,-0.25,0.916666687,0,0,0,-2.575819016,-2.662617445,0,0,913,145
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.533746004,-2.672687769,0,0,917,145
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.590186596,-2.684332848,0,0,921,145
-0.416666657,-0.208333328,0.875,0,0,0,-2.58632493,-2.704828501,0,0,927,145
-0.458333343,-0.208333328,0.875,0,0,0,-2.612502575,-2.695203304,0,0,931,145
-0.541666687,-0.25,0.875,0,0,0,-2.509671926,-2.676072359,0,0,935,145
-0.541666687,-0.25,0.875,0,0,0,-2.509671926,-2.676072359,0,0,940,145
-0.5,-0.208333328,0.916666687,0,0,0,-2.571258068,-2.662443161,0,0,944,145
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.549379587,-2.646683216,0,0,949,145
-0.416666657,-0.208333328,0.958333313,0,0,0,-2.549379587,-2.646683216,0,0,953,145
-0.5,-0.25,0.875,0,0,0,-2.543434381,-2.611460924,0,0,958,145
-0.541666687,-0.25,0.875,0,0,0,-2.543434381,-2.611460924,0,0,964,145
-0.541666687,-0.25,0.833333313,0,0,0,-2.562297583,-2.534971237,0,0,969,146
-0.458333343,-0.208333328,0.875,0,0,0,-2.54062891,-2.551267862,0,0,973,148
-0.416666657,-0.208333328,0.875,0,0,0,-2.54062891,-2.551267862,0,0,974,148
-0.416666657,-0.208333328,0.875,0,0,0,-2.479237556,-2.533514261,0,0,975,149
-0.416666657,-0.208333328,0.875,0,0,0,-2.506642818,-2.530440807,0,0,975,150
-0.541666687,-0.25,0.875,0,0,0,-2.479423761,-2.51072526,0,0,975,150
-0.583333313,-0.25,0.916666687,0,0,0,-2.479423761,-2.51072526,0,0,976,150
-0.5,-0.208333328,0.916666687,0,0,0,-2.482366323,-2.508419275,0,0,977,151
-0.458333343,-0.208333328,0.875,0,0,0,-2.538589001,-2.490785837,0,0,980,153
-0.416666657,-0.208333328,0.833333313,0,0,0,-2.522093296,-2.483864307,0,0,985,154
-0.416666657,-0.208333328,0.833333313,0,0,0,-2.47210741,-2.486720562,0,0,989,156
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.475174189,-2.489409685,0,0,994,158
-0.458333343,-0.25,0.875,0,0,0,-2.48894906,-2.457047939,0,0,998,160
-0.5,-0.208333328,0.916666687,0,0,0,-2.530998945,-2.452905655,0,0,1000,161
-0.5,-0.25,0.916666687,0,0,0,-2.521963358,-2.430203915,0,0,1001,163
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.501901627,-2.400680542,0,0,1004,164
-0.458333343,-0.208333328,0.875,0,0,0,-2.486874342,-2.355572701,0,0,1008,166
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.56630969,-2.344784737,0,0,1012,167
-0.5,-0.25,0.875,0,0,0,-2.518311024,-2.3950243,0,0,1016,168
-0.541666687,-0.25,0.875,0,0,0,-2.557487249,-2.412281036,0,0,1020,170
-0.5,-0.208333328,0.916666687,0,0,0,-2.563640594,-2.420638084,0,0,1023,171
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.548977613,-2.434449196,0,0,1025,172
-0.375,-0.208333328,0.875,0,0,0,-2.548977613,-2.434449196,0,0,1028,174
-0.416666657,-0.208333328,0.875,0,0,0,-2.538660765,-2.42322135,0,0,1031,177
-0.541666687,-0.25,0.875,0,0,0,-2.572048426,-2.411754608,0,0,1032,177
-0.541666687,-0.25,0.875,0,0,0,-2.572048426,-2.411754608,0,0,1034,178
-0.5,-0.25,0.875,0,0,0,-2.568876743,-2.435776711,0,0,1039,180
-0.458333343,-0.25,0.875,0,0,0,-2.568876743,-2.435776711,0,0,1043,183
-0.416666657,-0.208333328,0.875,0,0,0,-2.593551397,-2.470747232,0,0,1048,185
-0.375,-0.208333328,0.875,0,0,0,-2.593551397,-2.470747232,0,0,1052,187
-0.416666657,-0.25,0.833333313,0,0,0,-2.674779415,-2.442585945,0,0,1055,188
-0.541666687,-0.291666657,0.875,0,0,0,-2.621169567,-2.454956293,0,0,1058,190
-0.583333313,-0.291666657,0.916666687,0,0,0,-2.621169567,-2.454956293,0,0,1059,191
-0.541666687,-0.25,0.958333313,0,0,0,-2.590962172,-2.423712015,0,0,1061,193
-0.5,-0.25,0.916666687,0,0,0,-2.590962172,-2.423712015,0,0,1062,194
-0.416666657,-0.208333328,0.833333313,0,0,0,-2.5941329,-2.387297153,0,0,1064,195
-0.416666657,-0.25,0.833333313,0,0,0,-2.61852026,-2.397849798,0,0,1065,197
-0.458333343,-0.25,0.875,0,0,0,-2.61852026,-2.397849798,0,0,1068,199
-0.541666687,-0.291666657,0.916666687,0,0,0,-2.62289238,-2.36906147,0,0,1069,200
-0.541666687,-0.25,0.916666687,0,0,0,-2.62289238,-2.36906147,0,0,1072,202
-0.5,-0.25,0.875,0,0,0,-2.609241962,-2.321206331,0,0,1074,203
-0.458333343,-0.25,0.833333313,0,0,0,-2.609241962,-2.321206331,0,0,1077,206
-0.5,-0.25,0.791666687,0,0,0,-2.600757599,-2.293851137,0,0,1077,206
-0.5,-0.25,0.833333313,0,0,0,-2.600757599,-2.293851137,0,0,1080,208
-0.458333343,-0.25,0.875,0,0,0,-2.569158316,-2.23890686,0,0,1081,209
-0.458333343,-0.25,0.916666687,0,0,0,-2.58628726,-2.274580002,0,0,1083,210
-0.541666687,-0.25,0.916666687,0,0,0,-2.603738785,-2.22571373,0,0,1084,211
-0.5,-0.291666657,0.875,0,0,0,-2.605488539,-2.180095673,0,0,1087,213
-0.5,-0.291666657,0.833333313,0,0,0,-2.581296921,-2.197575808,0,0,1089,214
-0.416666657,-0.25,0.875,0,0,0,-2.561796904,-2.23069191,0,0,1090,215
-0.458333343,-0.25,0.875,0,0,0,-2.624096155,-2.213707209,0,0,1093,216
-0.458333343,-0.25,0.916666687,0,0,0,-2.57395196,-2.20972538,0,0,1095,217
-0.5,-0.291666657,0.875,0,0,0,-2.637779713,-2.242750645,0,0,1098,218
-0.5,-0.291666657,0.833333313,0,0,0,-2.626931667,-2.215207577,0,0,1101,220
-0.5,-0.25,0.833333313,0,0,0,-2.605554819,-2.155498028,0,0,1104,221
-0.458333343,-0.25,0.875,0,0,0,-2.655190229,-2.162483692,0,0,1107,222
-0.458333343,-0.25,0.916666687,0,0,0,-2.668751478,-2.164180756,0,0,1109,223
-0.458333343,-0.25,0.875,0,0,0,-2.644169807,-2.161346674,0,0,1113,225
-0.458333343,-0.291666657,0.875,0,0,0,-2.655645847,-2.178986549,0,0,1116,226
-0.5,-0.291666657,0.833333313,0,0,0,-2.622083187,-2.177243233,0,0,1121,228
-0.5,-0.291666657,0.833333313,0,0,0,-2.622083187,-2.177243233,0,0,1126,231
-0.5,-0.291666657,0.875,0,0,0,-2.669264793,-2.218530893,0,0,1130,233
-0.5,-0.291666657,0.875,0,0,0,-2.669264793,-2.218530893,0,0,1132,234
